key,speaker,style,wait,text,context
aster_sim.working.thought.01,,thought,false,"Ugh, my monitoring model's off again...",Aster frustrated at desk — model isn't working
aster_sim.working.thought.02,,thought,false,"They keep complaining about just patching things, yet nobody wants to approve my historical data access requests...",Institutional stonewalling — he's trying to do better work
aster_sim.ron.greeting,Ron,normal,false,"Hey hey, star of databank 534b!",Ron checks his device as he walks up
aster_sim.ron.name,Ron,normal,false,"Aster! Your metrics this quarter are disgusting, you beast.",Ron glances at device — read the name off it
aster_sim.ron.working_on,Ron,normal,false,What's the big man working on now?,Ron genuinely curious — sets up Aster showing the terminal
aster_sim.aster.show,Aster,normal,false,"Here, let me show you.",Tutorial beat: player moves Aster to terminal
aster_sim.system.cleaned,,data,false,The data has been cleaned and normalized to correct for anomalies. No further analysis is necessary.,Visible on terminal — set dressing now; most important sentence later
aster_sim.ron.drinks,Ron,normal,false,"That's what I like to see! Exactly the type of thinking that gets perks and no backbreaking manual labor. Speaking of which, enjoy the new drink machine! Unlimited, as always, for top performers like you.",Ron tying initiative to perks — institutional carrot
aster_sim.drink_label,,ui,false,click,Label that appears over the drink machine during tutorial
aster_sim.drink_redirect.thought,,thought,false,I should grab a drink first. I always grab a drink first.,Soft redirect if player wanders away from drink machine
aster_sim.ron.move_fast,Ron,normal,false,"Keep it up! Move fast and break, am I right?",The motto — directive disguised as camaraderie
aster_sim.device.tag_verify,DEVICE,data,false,TAG VERIFICATION — CHECKPOINT 7-B — REPORT WITHIN 15 MINUTES,Device notification
aster_sim.ron.tag_notify,Ron,normal,false,"Ah, sorry to have to pull you out. You're on a roll!",Ron reacts to the device notification
aster_sim.tag_routine,,data,true,Time for Tag Day. Routine.,Aster's flat reaction — waits for player click
peris_sim.waiting.thought,,thought,false,Monos should be connecting soon. He's always a little late.,Peris at her desk waiting for client
peris_sim.monos.late,Monos,normal,false,Sorry I'm late. Sorry. I was — there was someone following me.,Monos arrives flustered through the portal
peris_sim.monos.followed,Monos,normal,false,On the way here. I thought I lost them but...,Trailing off — the fear he didn't lose them
peris_sim.monos.start,Monos,normal,false,Anyway. I'm here now. Let's start.,
peris_sim.peris.week,Peris,normal,false,"So, how's your week been?",Session opener — casual warmth
peris_sim.monos.week,Monos,normal,false,It's been... definitely been a week.,Monos tired — not elaborating
peris_sim.monos.stress,Monos,normal,false,I keep looking over my shoulder. Even here.,Monos can't relax
peris_sim.peris.safe,Peris,normal,false,You're safe in here. That's what this room is for.,Peris reassuring
peris_sim.monos.breathe,Monos,normal,false,Right. Right. Sorry. Let me just...,Trying to compose himself
peris_sim.monos.ok,Monos,normal,false,OK. I'm OK. Let's start.,Ready to begin the session
peris_sim.monos.hit,Monos,normal,false,—!,Attack through the portal — Monos is hurt
peris_sim.system.overtime,SYSTEM,data,false,SESSION OVERTIME // TERMINATE AND LOG NOTES,Mandatory compliance warning — not optional
peris_sim.peris.protect_him,Peris,normal,false,I need to protect him.,Peris's instinct — first ability is care
peris_sim.sprint.thought,,thought,false,I need to get to the terminal. Now.,Urgency — player must run to portal
peris_sim.care.thought,,thought,false,I can't just walk past them. That's not who I am.,Soft redirect if player ignores Monos — Peris's care ethic
peris_sim.range.thought,,thought,false,I need to get closer.,Redirect if player tries ability out of range
peris_sim.correct.protect_first,,thought,false,Protect first. Then run.,Player tried to run before queuing protect
peris_sim.correct.target_monos,,thought,false,I need to target Monos.,Player clicked somewhere other than near Monos
peris_sim.correct.not_yet,,thought,false,Not yet. I need to set everything up first.,Player tried to unpause too early
peris_sim.correct.queue_first,,thought,false,Wait — I need to queue the ability first.,Player tried to unpause before queuing protect
peris_sim.monos.thanks,Monos,normal,false,"I... thank you. I don't know what that was. Thank you, Peris.",
peris_sim.system.complete,SYSTEM,data,false,SESSION COMPLETE — EFFICIENCY: 62%  //  OVERTIME PENALTY LOGGED,Efficiency penalty
peris_sim.session_ends,,,false,,Session ends — portal closes and Monos fades out
elevator.peris.where,Peris,normal,false,Where...? What is this place?,Peris wakes in the elevator
elevator.narration.room,,normal,false,"A small room. Metal walls. Red emergency light cycling overhead. Two white figures against the far wall, dormant. Someone slumped in the corner.",Scene description
elevator.peris.hey,Peris,normal,false,"Hey. Hey, can you hear me? Are you alive? Please be alive.",Peris approaches Aster
elevator.aster.waking,Aster,normal,false,...I already submitted the forecast. Check the terminal.,Aster wakes groggy — still in the simulation mentally
elevator.aster.where,Aster,normal,false,...This isn't the sim. Where are we?,Aster realizes
elevator.aster.device_locked,Aster,data,false,My device is locked. No facility access. No maintenance overlay.,Aster checks device first thing
elevator.peris.trapped,Peris,normal,false,Doors won't respond. I tried.,Peris confirms they're stuck
elevator.peris.why,Peris,normal,false,Why are we here?,
elevator.aster.wellness,Aster,normal,false,Tag Day. A citizen's scan failed and they walked him to the Wellness Wing.,Aster retells it flatly — doesn't know what happened
elevator.aster.singing,Aster,normal,false,He was reciting something on the way. I couldn't make it out. Then the checkpoint reset.,No mention of the bang — Aster's data view couldn't see the room
elevator.peris.citizen_ok,Peris,normal,false,Is he OK?,
elevator.aster.privacy,Aster,normal,false,I... never thought to ask. It wasn't really any of my business. There's a privacy policy.,Cites the policy like it settles the matter
elevator.peris.speaking_of,Peris,normal,false,Speaking of policy...,Pivots — policy is also what happened to her
elevator.peris.gel,Peris,normal,false,Have you ever performed so poorly they started showing you animations of soap being cut and gel being squished? It's the most uncomfortable comfort I've ever felt.,Peris disturbed by how soothing it was meant to be
elevator.aster.perks,Aster,normal,false,"Poorly? I've only performed so well that they give me perks, like this upgraded device...",Oblivious flex — interrupted by system restoration
elevator.system.restored,SYSTEM,data,false,MAINTENANCE CYCLE COMPLETE  //  DEVICE ACCESS RESTORED  //  RESUMING PASSENGER PROTOCOL,System restores devices and wakes escorts simultaneously
elevator.aster.overlay,Aster,normal,false,My device. It's back. There's a maintenance panel behind the doors.,Aster's data overlay reveals the panel
elevator.unit.protocol,EU-1,data,false,PASSENGERS CONSCIOUS  //  DISTRESS DETECTED  //  INITIATING RE-SEDATION PROTOCOL,Escort units activate as part of the same restoration
elevator.aster.device,Aster,normal,false,"No no no. My device. I can pulse it, fry their circuits.",Aster panicking but finding a solution
elevator.aster.stay_close,Aster,normal,false,They'll reboot. We don't have long. That panel. Now.,Post-EMP urgency
elevator.aster.hack,Aster,normal,false,I can override this. Just need a moment...,Aster begins hacking the panel
elevator.system.override,SYSTEM,data,false,MAINTENANCE OVERRIDE ACCEPTED  //  DOORS CYCLING,Hack succeeds
elevator.narration.doors,,normal,false,The elevator shudders. The doors grind open. Light spills in from a corridor neither of them recognizes.,Doors open
